course_id,department,enroll,weekdays,start,end,location,capacity,instructor
3381,CSE,39,W,4:40 PM,6:35 PM,Akerman Hall 225,40,"Chase, Thomas Richard; Kelso, Frank M"
3382,CSE,26,Th,4:40 PM,6:35 PM,Cooke Hall 206,40,"Chase, Thomas Richard; Kelso, Frank M"
3383,CSE,9,T,4:40 PM,6:35 PM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3384,CSE,10,F,2:30 PM,4:25 PM,Mechanical Engineering 50,9,"Chase, Thomas Richard; Mantell, Susan C"
3385,CSE,6,F,10:10 AM,12:05 PM,Mechanical Engineering 50,8,"Chase, Thomas Richard"
3386,CSE,84,F,11:15 AM,12:05 PM,Nicholson Hall 3511:15 AM 12:05 PM MW Rapson Hall 100,135,"Abel, Julianna Marie"
3387,CSE,33,T,2:30 PM,4:25 PM,Cooke Hall 214,40,"Abel, Julianna Marie"
3388,CSE,33,W,12:20 PM,2:15 PM,Keller Hall 2-260,40,"Abel, Julianna Marie"
3389,CSE,18,Th,2:30 PM,4:25 PM,Mechanical Engineering 102,40,"Abel, Julianna Marie"
3390,CSE,80,MWF,10:10 AM,11:00 AM,Fraser Hall 101,135,"Stelson, Kim A"
3391,CSE,59,T,12:20 PM,2:15 PM,Mechanical Engineering 18,65,"Stelson, Kim A"
3392,CSE,21,T,2:30 PM,4:25 PM,Smith Hall 331,65,"Stelson, Kim A"
3393,CSE,83,MWThF,12:20 PM,1:10 PM,Mechanical Engineering 18,100,"Bischof, John C; Chen, Yun"
3394,CSE,76,MWF,11:15 AM,12:05 PM,Smith Hall 331,80,"Hunter, Katharine"
3395,CSE,76,Th,11:15 AM,12:05 PM,Bruininks Hall 432,80,"Hunter, Katharine"
3396,CSE,61,MWF,9:05 AM,9:55 AM,Rapson Hall 43,75,"Yang, Suo"
3397,CSE,61,Th,10:10 AM,11:00 AM,Nicholson Hall 35,75,"Yang, Suo"
3398,CSE,80,MWF,12:20 PM,1:10 PM,Rapson Hall 45,75,"Anderson, Matt James"
3399,CSE,80,Th,12:20 PM,1:10 PM,Smith Hall 331,75,"Anderson, Matt James"
3400,CSE,55,MWF,8:00 AM,8:50 AM,Akerman Hall 319,65,"Wang, Xiaojia"
3401,CSE,55,M,9:05 AM,9:55 AM,Akerman Hall 319,65,"Wang, Xiaojia"
3402,CSE,70,TTh,8:15 AM,9:30 AM,Vincent Hall 16,115,"Bruggeman, Peter Julien; Ilic, Ognjen"
3403,CSE,6,T,10:10 AM,1:10 PM,Mechanical Engineering 152,6,"Bruggeman, Peter Julien; Ilic, Ognjen"
3404,CSE,9,Th,10:10 AM,1:10 PM,Mechanical Engineering 152,9,"Bruggeman, Peter Julien; Ilic, Ognjen"
3405,CSE,9,M,1:25 PM,4:25 PM,Mechanical Engineering 152,9,"Bruggeman, Peter Julien; Ilic, Ognjen"
3406,CSE,9,T,1:25 PM,4:25 PM,Mechanical Engineering 152,9,"Bruggeman, Peter Julien; Ilic, Ognjen"
3407,CSE,5,Th,1:25 PM,4:25 PM,Mechanical Engineering 152,6,"Bruggeman, Peter Julien; Ilic, Ognjen"
3408,CSE,9,M,4:40 PM,7:40 PM,Mechanical Engineering 152,9,"Bruggeman, Peter Julien; Ilic, Ognjen"
3409,CSE,8,T,4:40 PM,7:40 PM,Mechanical Engineering 152,9,"Bruggeman, Peter Julien; Ilic, Ognjen"
3410,CSE,6,W,4:40 PM,7:40 PM,Mechanical Engineering 152,6,"Bruggeman, Peter Julien; Ilic, Ognjen"
3411,CSE,9,Th,4:40 PM,7:40 PM,Mechanical Engineering 152,9,"Bruggeman, Peter Julien; Ilic, Ognjen"
3412,CSE,46,TTh,10:10 AM,12:05 PM,Bruininks Hall 131A,50,"Anderson, Matt James; Kelso, Frank M"
3413,CSE,52,T,4:00 PM,5:30 PM,Bruininks Hall 412,100,"Bohlmann, Brad"
3414,CSE,52,TTh,2:30 PM,3:45 PM,Bruininks Hall 41204:00 PM 05:30 PM Th Bruininks Hall 412,100,"Bohlmann, Brad"
3415,CSE,29,F,9:05 AM,9:55 AM,Mechanical Engineering 221,30,"Kortshagen, Uwe Richard"
3416,CSE,6,M,1:25 PM,4:25 PM,Mechanical Engineering 470,6,"Kortshagen, Uwe Richard"
3417,CSE,5,Th,9:05 AM,12:05 PM,Mechanical Engineering 470,6,"Kortshagen, Uwe Richard"
3418,CSE,6,F,10:10 AM,1:10 PM,Mechanical Engineering 470,6,"Kortshagen, Uwe Richard"
3419,CSE,6,F,1:25 PM,4:25 PM,Mechanical Engineering 470,6,"Kortshagen, Uwe Richard"
3420,CSE,6,W,10:10 AM,1:10 PM,Mechanical Engineering 470,6,"Kortshagen, Uwe Richard"
3421,CSE,47,F,1:25 PM,3:20 PM,Mechanical Engineering 108,48,"Rajamani, Rajesh"
3422,CSE,8,T,9:05 AM,12:05 PM,Mechanical Engineering 270,8,"Rajamani, Rajesh"
3423,CSE,8,W,9:05 AM,12:05 PM,Mechanical Engineering 270,8,"Rajamani, Rajesh"
3424,CSE,8,W,2:30 PM,5:30 PM,Mechanical Engineering 270,8,"Rajamani, Rajesh"
3425,CSE,8,Th,9:05 AM,12:05 PM,Mechanical Engineering 270,8,"Rajamani, Rajesh"
3426,CSE,7,M,9:05 AM,12:05 PM,Mechanical Engineering 270,8,"Rajamani, Rajesh"
3427,CSE,8,M,2:30 PM,5:30 PM,Mechanical Engineering 270,8,"Rajamani, Rajesh"
3428,CSE,10,F,11:15 AM,1:10 PM,Akerman Hall 327,30,"Li, Perry Y"
3429,CSE,5,TTh,9:05 AM,11:00 AM,Mechanical Engineering 256,6,"Li, Perry Y"
3430,CSE,2,TTh,11:15 AM,1:10 PM,Mechanical Engineering 256,6,"Li, Perry Y"
3431,CSE,3,MW,12:20 PM,2:15 PM,Mechanical Engineering 256,6,"Li, Perry Y"
3432,CSE,15,MW,12:20 PM,1:10 PM,Mechanical Engineering 456,25,"Kittelson, David Burnell"
3433,CSE,6,W,1:25 PM,4:25 PM,Mechanical Engineering 465,6,"Kittelson, David Burnell"
3434,CSE,5,M,1:25 PM,4:25 PM,Mechanical Engineering 465,6,"Kittelson, David Burnell"
3435,CSE,4,T,9:05 AM,12:05 PM,Mechanical Engineering 465,6,"Kittelson, David Burnell"
3436,CSE,26,MW,8:00 AM,9:55 AM,Mechanical Engineering 212,50,"Hogan, Chris"
3437,CSE,86,MW,12:20 PM,2:15 PM,Keller Hall 3-230,96,"Cui, Tianhong"
3438,CSE,77,MW,3:35 PM,5:30 PM,Tate Hall 105,100,"Tamma, Kumar K"
3439,CSE,93,TTh,12:20 PM,2:15 PM,Keller Hall 3-230,100,"Kowalewski, Timothy Mariusz"
3440,CSE,30,TTh,8:15 AM,9:30 AM,Mechanical Engineering 221,100,"Lee, Sungyon"
3441,CSE,45,MW,10:10 AM,12:05 PM,Mechanical Engineering 212,50,"Dutcher, Cari Suzanne"
3442,CSE,17,TTh,12:20 PM,2:15 PM,Molecular Cellular Biol 2-122,50,"Simon, Terrence W"
3443,CSE,13,MW,2:30 PM,4:25 PM,Mechanical Engineering 108,80,"Hubel, Allison"
3444,CSE,55,T,5:00 PM,7:00 PM,Tate Hall B20,90,"Hogan, Chris"
3445,CSE,13,W,5:00 PM,8:20 PM,Carlson School of Mgmt L-126,14,"Durfee, William K; Forbes, Daniel P"
3446,CSE,25,TTh,4:15 PM,5:30 PM,Mechanical Engineering 108,25,"McAlpine, Michael"
3447,CSE,25,MW,8:00 AM,9:55 AM,Keller Hall 2-260,18,"Durfee, William K"
3448,CSE,13,TTh,8:15 AM,9:30 AM,Mechanical Engineering 108,40,"Kulacki, Francis Alfred"
3449,CSE,26,TTh,11:15 AM,12:30 PM,Akerman Hall 319,40,"Girshick, Steven L"
3450,CSE,14,TTh,2:30 PM,4:00 PM,Kolthoff Hall 137,20,"Davidson, Jane H"
3451,CSE,11,TTh,2:30 PM,4:00 PM,Kolthoff Hall 137,20,"Davidson, Jane H"
3452,CSE,40,W,3:30 PM,4:45 PM,Room TBA,40,"Srinivasan, Vinod"
3453,CSE,26,W,3:30 PM,4:45 PM,Room TBA,40,"Srinivasan, Vinod"
3454,MS,16,W,7:30 AM,3:15 PM,Weaver-Densford Hall W2120,50,"Fallert, Christopher Jon"
3455,MS,18,W,7:30 AM,3:15 PM,Weaver-Densford Hall W2120,50,"Fallert, Christopher Jon; MacDonald, Katherine Ann"
3456,MS,18,W,7:30 AM,3:15 PM,Weaver-Densford Hall W2120,50,"Fallert, Christopher Jon"
3457,MS,14,W,7:30 AM,3:15 PM,Weaver-Densford Hall W2120,50,"Fallert, Christopher Jon"
3458,MS,318,MWF,10:10 AM,11:00 AM,10 Church Street SE 100,374,"Olson, Dalay Hirsch"
3459,MS,51,T,8:00 AM,9:55 AM,Moos Health Sci Tower 3-110,87,"Olson, Dalay Hirsch"
3460,MS,79,T,10:10 AM,12:05 PM,Moos Health Sci Tower 3-110,87,"Olson, Dalay Hirsch"
3461,MS,36,T,8:00 AM,9:55 AM,Moos Health Sci Tower 3-110,38,"Olson, Dalay Hirsch"
3462,MS,34,T,10:10 AM,12:05 PM,Moos Health Sci Tower 3-110,38,"Olson, Dalay Hirsch"
3463,MS,85,W,12:20 PM,2:15 PM,Moos Health Sci Tower 3-110,88,"Olson, Dalay Hirsch"
3464,MS,33,W,12:20 PM,2:15 PM,Moos Health Sci Tower 3-110,36,"Olson, Dalay Hirsch"
3465,MS,90,MWThF,10:10 AM,11:00 AM,Keller Hall 3-210,94,"Wu, Steven Chung-Nan"
3466,MS,55,MWThF,10:10 AM,11:00 AM,Keller Hall 3-210,69,"Wu, Steven Chung-Nan"
3467,MS,78,MWThF,10:10 AM,11:00 AM,Keller Hall 3-210,80,"Wu, Steven Chung-Nan"
3468,MS,93,T,10:10 AM,11:00 AM,Moos Health Sci Tower 2-530,110,"Barnett, Vincent A"
3469,MS,59,M,1:25 PM,4:25 PM,Moos Health Sci Tower 3-110,57,"Iaizzo PhD, Paul Anthony"
3470,MS,54,T,1:25 PM,4:25 PM,Moos Health Sci Tower 3-110,56,"Iaizzo PhD, Paul Anthony"
3471,MS,46,M,1:25 PM,4:25 PM,Moos Health Sci Tower 3-110,47,"Iaizzo PhD, Paul Anthony"
3472,MS,49,T,1:25 PM,4:25 PM,Moos Health Sci Tower 3-110,50,"Iaizzo PhD, Paul Anthony"
